證券代碼,簡稱,TSE 產業別,年月,財報發布日,ROA(A)稅後息前,ROE(B)－常續利益,營業毛利率,營業利益率,稅後淨利率,股利殖利率,研究發展費用率,營業費用率,常續性EPS,資產總額,負債總額,股東權益總額
1101,台泥,01,201812,2019/3/23,1.87,2.99,25.55,20.62,16.05,,0,4.93,4.17,344085118,146705662,197379456
1102,亞泥,01,201812,2019/3/29,1.21,2.71,27.91,25.96,13.39,,0,2.02,3.61,279187998,120139652,159048346
1103,嘉泥,01,201812,2019/3/29,-1.23,-0.66,11.56,-10.88,-34.57,,0,22.44,-0.19,31985629,11065810,20919819
1104,環泥,01,201812,2019/3/28,1.35,1.67,12.33,5.25,22.21,,1.35,7.08,1.61,22576572,4747299,17829273
1108,幸福,01,201812,2019/3/28,-1.98,-3.41,-2.62,-9.3,-17.38,,0,6.68,-0.43,7293497,3066499,4226998
1109,信大,01,201812,2019/3/29,5.16,6.48,37.44,31.46,24.66,,0,5.99,2.37,10172476,2482389,7690087
1110,東泥,01,201812,2019/3/29,-0.27,-0.13,10.07,4.53,-5.04,,0,5.54,0.1,9247751,735613,8512138
1201,味全,02,201812,2019/3/28,0.02,1.06,29.8,1.16,-0.78,,1.27,28.64,0.43,21242697,15042255,6200442
1203,味王,02,201812,2019/3/29,1.77,2.7,31.9,17.75,10.47,,0.21,14.15,1.79,9025005,3145357,5879648
1210,大成,02,201812,2019/3/29,1.54,2.04,13.17,3.09,3.01,,-0.28,10.08,2.36,42526281,20303648,22222633
1213,大飲,02,201812,2019/4/1,-6.06,-13.54,10.66,-11.3,-95.08,,0,21.96,-1.58,1369872,763407,606465
1215,卜蜂,02,201812,2019/3/27,2.18,4.32,14.87,7.36,6,,0,7.49,3.56,15790164,8533479,7256685
1216,統一,02,201812,2019/3/27,1.14,2.68,32.28,4.48,4.26,,0.28,27.8,2.99,407150086,236849252,170300834
1217,愛之味,02,201812,2019/3/29,0.1,-1.74,27.9,-8.74,-1.88,,1.42,36.63,-0.1,12584818,6312858,6271960
1218,泰山,02,201812,2019/4/1,0.48,0.55,16.5,-2.96,2.15,,0,19.42,0.94,8807002,2404293,6402709
1219,福壽,02,201812,2019/3/29,0.04,-1,6.49,-0.2,-0.27,,0.37,6.69,-0.03,8515527,4698895,3816632
1220,台榮,02,201812,2019/3/28,0.87,1.29,11.31,3.74,3.18,,0,7.57,0.51,3106563,686215,2420348
1225,福懋油,02,201812,2019/3/29,1.53,2.65,9.25,4.11,3.24,,0.28,5.49,1.17,6426121,2824836,3601285
1227,佳格,02,201812,2019/3/29,3.47,5.04,28.9,12.27,10.04,,1.1,16.64,2.84,23997656,7957331,16040325
1229,聯華,02,201812,2019/3/28,1.82,2.19,16.42,6.89,40.94,,0.55,9.53,2.35,30389304,5768702,24620602
1231,聯華食,02,201812,2019/3/26,2.53,5.89,23.33,9.28,8.17,,1.02,14.04,3.32,7003241,3565324,3437917
1232,大統益,02,201812,2019/3/21,5.38,7.27,12.53,7.88,6.55,,0.04,4.65,5.47,5470902,1528622,3942280
1233,天仁,02,201812,2019/3/18,1.56,2.08,56.78,4.69,6.06,,0.22,52.09,1.93,2169779,562671,1607108
1234,黑松,02,201812,2019/3/27,0.54,0.68,12.88,1.78,6.38,,0.67,11.1,1.73,22967481,5339390,17628091
1235,興泰,02,201812,2019/3/27,-0.54,-0.85,-4.7,-88.06,-614.54,,1.1,83.36,1.21,6830742,1747087,5083655
1236,宏亞,02,201812,2019/2/27,1.85,2.72,33.53,8.8,8.8,,0,24.73,0.12,2792241,958236,1834005
1240,茂生農經,33,201812,2019/11/11,2.4,3.23,13.69,8.29,9.01,,0.31,5.41,3.07,1615651,447964,1167687
1256,鮮活果汁-KY,02,201812,2019/3/7,2.26,3.26,35.72,14.45,10.33,,4.02,21.27,14.33,2607916,828609,1779307
1259,安心,16,201812,2019/2/27,0.59,1.39,25.39,1.91,1.33,,0,23.48,4.78,2950308,1161452,1788856
1264,德麥,02,201812,2019/3/22,4.27,5.06,37.02,17.71,13.12,,1.06,19.31,13.39,3278973,535987,2742986
1268,漢來美食,16,201812,2019/3/7,2.17,3.97,43.57,6.1,6.81,,0.63,37.46,6.38,2776619,1279454,1497165
1301,台塑,03,201812,2019/3/25,0.52,0.87,14.2,8.35,4.14,,0.76,5.86,7.87,501513267,145945266,355568001
1303,南亞,03,201812,2019/3/20,0.83,1.15,11.15,4.92,5.73,,0,6.25,6.64,570249344,183344352,386904992
1304,台聚,03,201812,2019/3/27,-0.14,-0.45,5.68,-1.4,-0.97,,0.73,7.08,0.14,68991038,32536329,36454709
1305,華夏,03,201812,2019/3/25,0.82,1.28,10.21,3.09,2.74,,0.31,7.12,2.47,13224095,4412991,8811104
1307,三芳,03,201812,2019/3/25,0.52,1.33,20.67,4.79,2.74,,4.76,15.88,0.87,14522208,6305595,8216613
1308,亞聚,03,201812,2019/3/25,0.21,0.35,5.42,2.41,1.23,,0.06,3.01,0.51,15597743,5993307,9604436
1309,台達化,03,201812,2019/3/25,-1.78,-4.25,-0.09,-3.93,-3.45,,0.11,3.85,0.56,8727546,4735589,3991957
1310,台苯,03,201812,2019/3/13,0.51,0.87,4.05,1.96,1.54,,0.05,2.09,2.39,10510046,2792632,7717414
1312,國喬,03,201812,2019/3/28,0.93,1.1,10.61,5.4,4.85,,0.14,5.21,3.27,29859901,4238927,25620974
1313,聯成,03,201812,2019/3/25,-0.14,-0.56,3.68,-0.56,-0.67,,0,4.25,0.58,45769849,25995786,19774063
1314,中石化,03,201812,2019/3/27,0.38,0.13,8.54,0.64,3.62,,1.42,7.9,1.46,89704954,22514200,67190754
1315,達新,03,201812,2019/3/27,-0.49,-0.65,13.55,-1.55,-7.91,,0,15.1,1.2,9872838,2149826,7723012
1316,上曜,14,201812,2019/3/27,-1.4,-2.5,8.04,-43.11,-56.28,,2.8,51.15,1.07,5805332,2831508,2973824
1319,東陽,12,201812,2019/3/28,1.4,2.2,23.85,8.25,8.64,,2.88,15.6,3.24,37258233,15384906,21873327
1321,大洋,03,201812,2019/3/29,-0.75,-0.77,3.56,-3.13,-7.41,,0.07,6.69,-0.16,11646935,6299836,5347099
1323,永裕,03,201812,2019/2/26,2.36,4.26,23.09,12.46,9.9,,1.18,10.63,3.3,4239473,1957692,2281781
1324,地球,03,201812,2019/3/25,-0.2,-0.27,13.58,-0.05,-0.92,,1.65,13.63,0,1306824,304461,1002363
1325,恒大,03,201812,2019/3/29,0.78,0.84,10.42,5.61,5.89,,1.05,4.81,0.7,1909141,123596,1785545
1326,台化,03,201812,2019/3/15,0.46,0.58,8.02,4.06,2.3,,0,3.97,8.23,591500932,158178433,433322499
1336,台翰,28,201812,2019/3/29,0.88,2.21,15.81,5.3,2.65,,0,10.51,1.54,2507874,845148,1662726
1337,再生-KY,03,201812,2019/3/24,-15.66,-16.19,-156.29,-333.56,-344.31,,3.54,177.27,-6.76,8435471,572389,7863082
1338,廣華-KY,12,201812,2019/3/25,1.02,1.43,25.76,8.06,4.47,,3.48,17.7,6.69,9965581,3181678,6783903
1339,昭輝,12,201812,2019/4/1,0.25,4.5,31.34,19.97,1.03,,1.17,11.37,6.21,6324887,2882570,3442317
1340,勝悅-KY,03,201812,2019/3/27,-1.01,-0.79,-2.26,-22.44,-20.89,,13.44,20.17,1.09,6788191,238263,6549928
1341,富林-KY,03,201812,2019/3/26,3.07,6.32,19.54,10.67,8.13,,0.39,8.87,3.05,2290036,1172404,1117632
1342,八貫,20,201812,2019/8/1,5.53,9.55,24.96,11.27,10.2,,1.63,13.69,3.79,1317143,549332,767811
1402,遠東新,04,201812,2019/4/1,0.49,0.97,14.83,2.06,3.48,,0.36,12.76,1.99,565589420,297859983,267729437
1409,新纖,04,201812,2019/3/29,0.4,1.42,15.06,7.01,5.34,,0.96,8.04,1.54,143864326,106899144,36965182
1410,南染,04,201812,2019/3/27,1.78,2.16,37.77,25.29,22.71,,1.55,12.48,1.43,1526933,267990,1258943
1413,宏洲,04,201812,2019/2/25,2.92,5.87,6.98,4.74,6.92,,0,2.24,1.84,2353125,1218947,1134178
1414,東和,04,201812,2019/3/19,0.07,0.09,5.98,-0.82,0.73,,0.88,6.8,0.18,4502435,1426279,3076156
1416,廣豐,20,201812,2019/3/29,2.71,-5.65,-2.79,-203.11,345.05,,0,200.32,-1.69,7648142,3401553,4246589
1417,嘉裕,04,201812,2019/3/28,-1.99,-2.28,19.42,-19.36,-19.76,,1.56,38.78,-0.81,4186595,806564,3380031
1418,東華,04,201812,2019/3/31,-2.56,-16.25,-63.16,-87.87,-82.29,,2.88,23.48,-4.24,2668543,1819360,849183
1419,新紡,04,201812,2019/3/29,0.27,0.29,31.09,7.16,6.31,,1.31,23.94,0.84,12246886,3831387,8415499
1423,利華,04,201812,2019/3/20,0.43,0.5,8.92,-0.77,7.26,,0,9.7,0.59,2620924,230231,2390693
1432,大魯閣,37,201812,2019/3/28,-2.6,-3.84,84.06,-34.68,-34.33,,0,118.74,-1.11,2531231,686178,1845053
1434,福懋,04,201812,2019/3/22,0.33,0.35,9.74,3.15,2.72,,0.21,6.59,2.28,93026493,18057803,74968690
1435,中福,20,201812,2019/3/29,-0.86,-0.1,94.92,-26.14,-134.18,,0,121.06,-0.01,1053476,168606,884870
1436,華友聯,14,201812,2019/3/22,1.71,4.85,26.32,15.63,12.95,,0,10.69,4.48,8011893,5392067,2619826
1437,勤益控,20,201812,2019/3/29,0.43,0.91,61.66,47.5,24.45,,0,14.16,1.34,10346303,4551777,5794526
1438,三地開發,14,201812,2019/3/26,-1.31,-1.48,25,-22825,-98187.5,,0,22850,-0.12,594935,70098,524837
1439,雋揚,14,201812,2019/3/28,-1.27,-1.32,1.06,-49.5,-45.82,,0,50.55,-0.68,1997012,154889,1842123
1440,南紡,04,201812,2019/3/19,-0.05,-0.2,5.4,-3.27,-1,,0.37,8.67,0.7,44151508,19019188,25132320
1441,大東,04,201812,2019/3/29,-5.65,-7.1,-12.92,-24.93,-37.22,,1.6,12.01,-3.89,2583985,1158778,1425207
1442,名軒,14,201812,2019/3/26,-0.29,-0.58,-10.77,-42.28,-36.85,,0,31.51,0.4,10566686,5329535,5237151
1443,立益物流,20,201812,2019/3/29,-0.68,-1.19,-6.86,-14.59,-25.68,,0,7.74,-0.15,4967529,4216411,751118
1444,力麗,04,201812,2019/4/1,-0.16,-0.6,3.78,-1.71,-1.54,,0.35,5.47,0.39,19027980,7221001,11806979
1445,大宇,04,201812,2019/3/26,-0.28,-0.34,5.79,-3.3,-1.6,,0.58,9.09,-0.18,2126967,370205,1756762
1446,宏和,04,201812,2019/3/28,0.28,0.6,7.87,-16.48,8.84,,0,24.35,-0.21,3786599,2169350,1617249
1447,力鵬,04,201812,2019/4/1,-1.43,-2.78,-9.73,-13.96,-8.35,,0.79,4.22,0.17,18813349,8273829,10539520
1449,佳和,04,201812,2019/3/28,-0.53,-5.44,11.15,-5.51,-8.09,,2.27,16.66,-1.95,5936685,5128196,808489
1451,年興,04,201812,2019/3/19,1.23,1.36,8.4,2.58,5.26,,0.27,5.83,1.71,10064734,2403874,7660860
1452,宏益,04,201812,2019/2/27,1.1,1.2,12.36,6.49,5.78,,0.5,5.87,1.4,2786634,279148,2507486
1453,大將,14,201812,2019/3/29,-1.57,-0.78,6.65,-1828.7,-3208.76,,0,1835.35,-0.38,1342556,19182,1323374
1454,台富,04,201812,2019/3/27,-0.3,-0.36,4.37,-2.21,-1.3,,0.65,6.58,0.17,2043633,504251,1539382
1455,集盛,04,201812,2019/3/26,-2.07,-1.89,-2.57,-5.28,-6.51,,0.57,2.71,0.24,11457506,3851517,7605989
1456,怡華,14,201812,2019/3/28,1.13,2.95,21.92,55.7,29.17,,0,10.97,0.14,5036080,3870370,1165710
1457,宜進,04,201812,2019/3/28,0.72,1.68,12.32,8.4,6.26,,0,4.67,0.42,16460179,9242734,7217445
1459,聯發,04,201812,2019/3/29,-6.11,-2.34,-5.16,-9.24,-55.62,,0,4.08,-0.34,7064462,3917334,3147128
1460,宏遠,04,201812,2019/3/28,0.25,0.23,18.29,2.91,0.44,,2.77,15.38,0.33,12488372,7330424,5157948
1463,強盛,04,201812,2019/3/27,1.35,1.44,29.14,15.5,21.58,,2.94,13.64,1.57,2704801,271701,2433100
1464,得力,04,201812,2019/3/27,0.67,1.43,16.77,4.12,2.85,,2.39,13.56,0.62,16623981,11402772,5221209
1465,偉全,04,201812,2019/4/1,1.8,1.9,,,,,,,0.58,2383689,417104,1966585
1466,聚隆,04,201812,2019/3/29,-0.84,-2.2,2.04,-4.16,-3.83,,1.03,6.19,-0.94,3675224,2031891,1643333
1467,南緯,04,201812,2019/3/29,1.39,-5.78,19.1,-0.07,3.88,,,19.16,-1.21,7106634,4571530,2535104
1468,昶和,04,201812,2019/3/29,0.16,-0.18,10.3,-4.42,-0.49,,0.9,14.72,0.01,2479837,1418658,1061179
1470,大統新創,04,201812,2019/3/28,1.57,1.95,25,10.85,9.14,,0,14.63,0.63,1134243,197200,937043
1471,首利,28,201812,2019/3/28,-8.56,-9.73,-7.04,-20.16,-41.9,,1.15,13.12,-2.18,1689116,684200,1004916
1472,三洋實業,14,201812,2019/4/1,-0.71,-2.44,6.52,-6.57,-6.19,,0.28,12.5,-1.59,855934,544632,311302
1473,台南,04,201812,2019/3/29,1.76,1.42,15.09,2.76,6.09,,1.38,12.32,0.26,6085772,2214796,3870976
1474,弘裕,04,201812,2019/3/28,0.98,1.94,9.27,0.34,3.84,,1.77,8.93,0.9,3800530,1872608,1927922
1475,業旺,04,201812,2019/3/28,0.26,1.71,-153.27,-190.29,-0.39,,4.1,37.01,-4.16,91648,57892,33756
1476,儒鴻,04,201812,2019/3/14,5.8,7.62,30.09,19.91,16.45,,0.5,10.18,16.03,22140882,5209852,16931030
1477,聚陽,04,201812,2019/3/27,3.15,4.47,21.04,8.52,6.43,,0,12.52,7.04,13661185,4780427,8880758
