Player,Pos,Team,Num,Height,Weight,DOB
Noel Acciari,C,PIT,55,1.778,94.80072799999999,12/1/91
Calen Addison,D,MIN,2,1.8034,78.471416,4/11/00
Sebastian Aho,C,CAR,20,1.8288000000000002,79.83219199999999,7/26/97
Sebastian Aho,D,NYI,25,1.778,81.64656,2/17/96
Nikita Alexandrov,C,STL,59,1.8542000000000003,80.28578399999999,9/16/00
Alexander Alexeyev,D,WAS,27,1.9304000000000001,96.615096,11/15/99
Jake Allen,G,MON,34,1.8796000000000002,89.357624,8/7/90
Michael Amadio,RW,VEG,22,1.8542000000000003,90.7184,5/13/96
Frederik Andersen,G,CAR,31,1.9304000000000001,107.954896,10/2/89
Josh Anderson,RW,MON,17,1.9050000000000002,101.604608,5/7/94
Mikey Anderson,D,LA,44,1.8288000000000002,88.45044,5/25/99
Jaret Anderson-Dolan,C,LA,28,1.8034,90.7184,9/12/99
Rasmus Andersson,D,CAL,4,1.8542000000000003,91.625584,10/27/96
Corey Andonovski,RW,PIT,12,1.8542000000000003,87.996848,3/26/99
Mason Appleton,C,WIN,22,1.9050000000000002,89.357624,1/15/96
Joel Armia,RW,MON,40,1.9050000000000002,97.975872,5/31/93
Viktor Arvidsson,RW,LA,33,1.778,83.91452,4/8/93
Andreas Athanasiou,LW,CHI,89,1.8796000000000002,86.18248,8/6/94
Cam Atkinson,RW,PHI,89,1.7272,79.83219199999999,6/5/89
Mikael Backlund,C,CAL,11,1.8288000000000002,93.439952,3/17/89
Nicklas Backstrom,C,WAS,19,1.8542000000000003,91.625584,11/23/87
Kevin Bahl,D,NJ,88,1.9812000000000003,104.32616,6/27/00
Uvis Balinskis,D,FLA,26,1.8288000000000002,88.904032,8/1/96
Alexander Barabanov,LW,SJ,94,1.778,88.45044,6/17/94
Ivan Barbashev,C,VEG,49,1.8542000000000003,89.811216,12/14/95
Aleksander Barkov,C,FLA,16,1.9050000000000002,97.52228,9/2/95
Alex Barre-Boulet,C,TB,12,1.778,81.64656,5/21/97
Tyson Barrie,D,NAS,22,1.8034,89.357624,7/26/91
Justin Barron,D,MON,52,1.8796000000000002,91.625584,11/15/01
Morgan Barron,C,WIN,36,1.9304000000000001,99.79024,12/2/98
Mathew Barzal,C,NYI,13,1.8542000000000003,86.18248,5/26/97
Nathan Bastian,RW,NJ,14,1.9304000000000001,92.98636,12/6/97
Drake Batherson,RW,OTT,19,1.9050000000000002,90.7184,4/27/98
Jake Bean,D,CLB,22,1.8542000000000003,88.904032,6/9/98
Anthony Beauvillier,LW,VAN,72,1.8034,81.64656,6/8/97
Connor Bedard,C,CHI,98,1.778,83.91452,7/17/05
John Beecher,C,BOS,19,1.9050000000000002,97.52228,4/5/01
Pierre-Edouard Bellemare,LW,SEA,41,1.8034,89.811216,3/6/85
Louie Belpedio,D,PHI,37,1.8034,89.357624,5/14/96
Emil Bemstrom,RW,CLB,52,1.8288000000000002,88.45044,6/1/99
Matty Beniers,C,SEA,10,1.8796000000000002,80.739376,11/5/02
Jamie Benn,LW,DAL,14,1.8796000000000002,92.98636,7/18/89
Sam Bennett,C,FLA,9,1.8542000000000003,88.45044,6/20/96
Matt Benning,D,SJ,5,1.8542000000000003,92.079176,5/25/94
Zach Benson,LW,BUF,9,1.778,73.935496,5/12/05
Jonatan Berggren,RW,DET,48,1.8034,89.357624,7/16/00
Jacob Bernard-Docker,D,OTT,24,1.8288000000000002,86.18248,6/30/00
Tyler Bertuzzi,LW,TOR,59,1.8796000000000002,90.7184,2/24/95
Jordan Binnington,G,STL,50,1.8796000000000002,78.017824,7/11/93
Oliver Bjorkstrand,RW,SEA,22,1.8288000000000002,79.3786,4/10/95
Tobias Bjornfot,D,LA,7,1.8288000000000002,90.7184,4/6/01
Nick Bjugstad,C,ARI,17,1.9812000000000003,94.80072799999999,7/17/92
Colin Blackwell,C,CHI,43,1.7526,86.18248,3/28/93
Mackenzie Blackwood,G,SJ,29,1.9304000000000001,102.0582,12/9/96
Sammy Blais,LW,STL,79,1.8796000000000002,93.439952,6/17/96
Teddy Blueger,C,VAN,53,1.8288000000000002,83.91452,8/15/94
Sergei Bobrovsky,G,FLA,72,1.8796000000000002,85.275296,9/20/88
Brock Boeser,RW,VAN,6,1.8542000000000003,94.347136,2/25/97
Zach Bogosian,D,TB,24,1.8796000000000002,104.779752,7/15/90
Samuel Bolduc,D,NYI,4,1.9304000000000001,99.79024,12/9/00
Matt Boldy,LW,MIN,12,1.8796000000000002,91.171992,4/5/01
Nick Bonino,C,NYR,12,1.8542000000000003,89.811216,4/20/88
Adam Boqvist,D,CLB,27,1.8288000000000002,82.553744,8/15/00
Jesper Boqvist,C,BOS,70,1.8288000000000002,81.64656,10/30/98
Thomas Bordeleau,C,SJ,17,1.778,79.3786,1/3/02
Will Borgen,D,SEA,3,1.9050000000000002,92.532768,12/19/96
