  Variable    Min     Q1     Median        Q3      Max
1        GP      1     56      76.00      81.0       82
2         G      0      4      10.00      19.0       65
3         A      0      9      19.00      32.0       90
4       Pts      0     15      30.00      50.0      155
5      X...    -41     -8       1.00      10.0       45
6        PN      0      8      13.00      20.0       42
7       PIM      0     16      30.00      44.0      136
8         S      0     73     121.00     175.0      367
9        SB      0     31      54.00      78.0      189
10       MS      0     26      46.00      67.0      140
11        H      0     40      67.00     107.0      305
12       GV      0     17      31.00      46.0      105
13       TK      0     15      28.00      42.0       92
14       BS      0     24      40.00      72.0      196
15       FW      0      0       5.00     105.0      977
16       FL      0      0       9.00     144.0      869
17       F.      0      0      33.33      48.3      100
18   Salary 775000 850000 2950000.00 5100000.0 12500000
19  Cap.Hit 758333 925000 3500000.00 5950000.0 12600000
