,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year,Salary,Cap Hit,_merge
0,Kent Johnson,CBJ,9,0,3,3,2,1,2,5,7,8,4,2,2,1,0,0,0.0,2022,"832,500","925,000",both
1,Jordan Harris,MTL,10,1,0,1,3,4,8,9,4,2,10,8,3,11,0,0,0.0,2022,"1,400,000","1,400,000",both
2,Lukas Reichel,CHI,11,0,1,1,-8,0,0,15,4,4,0,7,6,3,16,30,34.78,2022,"832,500","925,000",both
3,Alex Vlasic,CHI,15,1,1,2,-2,1,2,12,3,6,15,5,5,16,0,0,0.0,2022,"832,500","916,667",both
4,Jack McBain,ARI,10,2,1,3,-6,3,6,13,3,8,33,5,2,9,35,68,33.98,2022,"1,599,999","1,599,999",both
5,Bobby Brink,PHI,10,0,4,4,-5,0,0,18,5,8,14,4,1,2,3,1,75.0,2022,"832,500","925,000",both
6,Owen Power,BUF,8,2,1,3,3,1,2,10,6,1,1,4,6,9,0,0,0.0,2022,"832,500","916,667",both
7,Jake Sanderson,OTT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022,"832,500","925,000",both
8,Mark Kastelic,OTT,16,2,2,4,-2,4,14,11,3,8,51,5,9,10,70,50,58.33,2022,"800,000","835,000",both
9,Noah Cates,PHI,16,5,4,9,4,2,4,23,11,9,21,3,10,6,0,7,0.0,2022,"2,625,000","2,625,000",both
10,J.J. Moser,ARI,19,1,5,6,-8,3,6,19,11,14,17,15,5,34,0,0,0.0,2022,"832,500","886,667",both
11,Evgeni Malkin,PIT,41,20,23,43,-10,11,24,129,45,29,21,48,41,18,164,212,43.62,2022,"6,000,000","6,100,000",both
12,Braden Schneider,NYR,43,2,9,11,5,3,9,25,23,17,60,20,7,52,0,0,0.0,2022,"832,500","925,000",both
13,Evander Kane,EDM,43,22,16,38,24,26,60,152,54,54,136,27,16,11,9,11,45.0,2022,"1,500,000","5,125,000",both
14,Darren Raddysh,TBL,4,0,0,0,1,0,0,2,2,1,4,0,1,6,0,0,0.0,2022,"775,000","762,500",both
15,Alex Tuch,BUF,50,12,24,36,-5,7,14,139,37,52,32,25,40,49,9,14,39.13,2022,"4,750,000","4,750,000",both
16,Mattias Samuelsson,BUF,42,0,10,10,-10,8,16,44,26,13,100,27,8,60,0,0,0.0,2022,"2,285,716","4,285,714",both
17,Liam Foudy,CBJ,1,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0,0.0,2022,"775,000","762,500",both
18,Declan Chisholm,WPG,2,0,0,0,1,0,0,4,5,0,1,1,1,1,0,0,0.0,2022,"775,000","775,000",both
19,Dylan Samberg,WPG,15,0,5,5,2,2,4,14,5,9,21,11,6,19,0,0,0.0,2022,"1,300,000","1,400,000",both
20,Dakota Mermis,MIN,2,0,0,0,2,0,0,1,3,1,3,0,0,1,0,0,0.0,2022,"775,000","775,000",both
21,Marco Rossi,MIN,2,0,0,0,-1,2,4,5,0,2,1,1,1,1,7,15,31.82,2022,"832,500","863,333",both
22,Lucas Johansen,WSH,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,2022,"775,000","762,500",both
23,Alexander Alexeyev,WSH,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0.0,2022,"775,000","825,000",both
24,Michael Carcone,ARI,21,4,2,6,-8,4,14,36,15,13,31,9,8,7,0,7,0.0,2022,"775,000","775,000",both
25,David Gustafsson,WPG,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0.0,2022,"775,000","775,000",both
26,Cole Smith,NSH,8,0,0,0,-3,0,0,3,2,1,21,2,3,1,0,1,0.0,2022,"775,000","775,000",both
27,Jack Drury,CAR,2,2,0,2,3,1,2,6,2,0,4,2,2,2,12,3,80.0,2022,"832,500","925,000",both
28,Stefan Noesen,CAR,2,0,0,0,1,0,0,4,2,5,5,3,0,0,0,0,0.0,2022,"775,000","762,500",both
29,Noah Juulsen,VAN,9,0,2,2,-3,0,0,6,2,3,20,5,1,11,0,0,0.0,2022,"775,000","775,000",both
30,Jalen Chatfield,CAR,16,0,3,3,0,4,8,25,15,11,32,3,6,10,0,0,0.0,2022,"775,000","762,500",both
31,Beck Malenstyn,WSH,12,1,0,1,2,3,9,10,2,5,34,1,2,7,1,6,14.29,2022,"775,000","762,500",both
32,Morgan Frost,PHI,55,5,11,16,-11,7,14,85,41,26,44,22,27,29,225,242,48.18,2022,"1,450,000","2,100,000",both
33,Philip Broberg,EDM,23,1,2,3,-8,4,8,29,19,12,10,14,5,10,0,0,0.0,2022,"832,500","863,333",both
34,Oskar Sundqvist,STL,59,8,15,23,6,9,29,70,28,19,70,25,12,28,75,106,41.44,2022,"775,000","775,000",both
35,Scott Perunovich,STL,20,0,6,6,2,4,8,14,8,3,5,7,6,12,0,0,0.0,2022,"775,000","775,000",both
36,Justin Danforth,CBJ,46,10,4,14,-5,5,10,72,25,34,85,2,15,22,108,90,54.55,2022,"975,000","975,000",both
37,Walker Duehr,CGY,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2022,"775,000","825,000",both
38,Michael McCarron,NSH,52,7,7,14,10,18,60,51,17,16,116,19,14,31,191,162,54.11,2022,"775,000","775,000",both
39,Sebastian Aho,NYI,38,2,10,12,-6,5,10,32,25,17,32,26,8,42,0,0,0.0,2022,"850,000","825,000",both
40,Devon Toews,COL,67,13,44,57,52,10,20,158,65,44,54,34,45,85,0,0,0.0,2022,"5,900,000","4,100,000",both
41,Pierre-Olivier Joseph,PIT,5,0,0,0,-2,1,2,7,4,2,6,1,5,4,0,0,0.0,2022,"850,000","825,000",both
42,Semyon Varlamov,NYI,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,100.0,2022,"2,750,000","2,750,000",both
43,Thomas Harley,DAL,34,1,3,4,-4,3,6,36,25,24,30,18,9,30,0,0,0.0,2022,"832,500","863,333",both
44,Michael Pezzetta,MTL,53,5,6,11,-6,23,79,49,12,16,156,24,4,9,6,5,54.55,2022,"800,000","812,500",both
45,Aliaksei Protas,WSH,33,3,6,9,4,0,0,34,17,10,20,14,8,12,56,69,44.8,2022,"775,000","789,167",both
46,Seth Jarvis,CAR,68,17,23,40,12,9,18,110,36,57,69,33,15,22,11,14,44.0,2022,"832,500","894,167",both
47,Calen Addison,MIN,17,2,2,4,-4,1,2,17,12,7,12,1,0,6,0,0,0.0,2022,"825,000","825,000",both
48,Sidney Crosby,PIT,69,31,53,84,19,16,32,208,62,64,50,54,34,37,760,690,52.41,2022,"3,000,000","8,700,000",both
49,Connor Dewar,MIN,36,2,4,6,-5,7,25,44,23,15,48,6,9,22,61,71,46.21,2022,"850,000","800,000",both
50,Barrett Hayton,ARI,60,10,13,23,-10,10,20,81,34,34,84,18,18,33,412,447,47.96,2022,"2,130,000","1,775,000",both
51,Jason Robertson,DAL,74,41,38,79,16,11,22,220,107,73,50,50,48,24,1,0,100.0,2022,"8,000,000","7,750,000",both
52,Sam Carrick,ANA,64,11,8,19,-12,26,85,80,25,34,122,14,14,21,204,209,49.39,2022,"850,000","850,000",both
53,Reese Johnson,CHI,37,1,5,6,-13,5,16,24,10,12,141,6,13,14,107,105,50.47,2022,"850,000","800,000",both
54,Eetu Luostarinen,FLA,78,9,17,26,2,6,12,84,42,26,102,26,37,46,319,480,39.92,2022,"1,500,000","1,500,000",both
55,Brady Tkachuk,OTT,79,29,39,68,-7,42,107,287,88,85,269,69,41,25,217,218,49.89,2022,"10,500,000","8,205,714",both
56,Thomas Novak,NSH,27,1,6,7,-4,1,2,25,10,12,4,5,14,6,63,79,44.37,2022,"800,000","800,000",both
57,Matt Martin,NYI,71,3,4,7,-2,22,70,66,20,20,235,17,11,27,8,11,42.11,2022,"1,500,000","1,500,000",both
