,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
0,Jake Livingstone,NSH,5,0,1,1,-2,1,2,3,4,2,6,3,0,12,0,0,0,2023
1,Philip Tomasino,NSH,31,5,13,18,5,3,6,53,21,26,28,15,10,16,9,8,52.94,2023
2,Luke Evangelista,NSH,24,7,8,15,7,3,6,54,17,7,9,9,15,6,0,0,0,2023
3,Spencer Stastney,NSH,8,0,2,2,4,1,2,9,3,2,2,3,2,9,0,0,0,2023
4,Tommy Novak,NSH,42,13,24,37,4,3,6,71,32,27,6,13,24,21,161,181,47.08,2023
5,Alex Galchenyuk,COL,11,0,0,0,-8,2,4,8,4,3,10,0,0,3,4,3,57.14,2023
6,Stanislav Svozil,CBJ,2,0,1,1,-3,1,2,3,1,3,1,1,0,1,0,0,0,2023
7,Billy Sweezey,CBJ,9,0,1,1,-3,3,7,3,10,3,39,3,2,20,0,0,0,2023
8,Hunter McKown,CBJ,12,0,2,2,-4,4,8,13,4,6,12,3,4,5,48,39,55.17,2023
9,Joona Luoto,CBJ,7,1,0,1,-7,0,0,7,2,4,11,4,3,3,0,0,0,2023
10,Tyler Angle,CBJ,2,1,0,1,-2,0,0,5,1,0,2,0,1,0,8,10,44.44,2023
11,Samuel Knazko,CBJ,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2023
12,Lukas Rousek,BUF,2,1,1,2,2,0,0,3,0,0,0,0,0,1,0,1,0,2023
13,Mikael Pyyhtia,CBJ,2,0,1,1,-2,1,2,2,0,2,0,2,0,2,0,0,0,2023
14,Damien Giroux,MIN,1,0,1,1,0,1,2,0,0,0,2,0,0,1,2,3,40,2023
15,Nick Swaney,MIN,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2023
16,Maxence Guenette,OTT,1,0,0,0,-1,0,0,2,0,1,1,0,0,1,0,0,0,2023
17,Lucas Condotta,MTL,1,1,0,1,-1,0,0,5,0,2,3,0,0,0,4,3,57.14,2023
18,Matt Coronato,CGY,1,0,0,0,1,1,2,4,1,1,1,2,1,0,0,0,0,2023
19,Hugh McGing,STL,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023
20,Joel Teasdale,MTL,2,0,1,1,-3,0,0,1,0,1,2,2,1,1,0,1,0,2023
21,Benoit-Olivier Groulx,ANA,2,0,0,0,0,0,0,2,2,1,0,3,2,0,9,11,45,2023
22,Jackson Lacombe,ANA,2,0,0,0,-1,0,0,1,0,0,1,0,0,9,0,0,0,2023
23,Henrik Borgstrom,WSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
24,Adam Ginning,PHI,1,0,0,0,0,1,2,0,0,1,2,0,0,2,0,0,0,2023
25,Luke Hughes,N.J,2,1,1,2,0,0,0,2,2,0,1,0,1,3,0,0,0,2023
