Player,Tm,Salary,Cap Hit,Year
Player,Tm,Salary,Cap Hit,2024
Kirill Kaprizov,MIN,"12,500,000","9,000,000",2024
Adam Fox,NYR,"12,000,000","9,500,000",2024
Drew Doughty,LAK,"11,000,000","11,000,000",2024
Cale Makar,COL,"11,000,000","9,000,000",2024
Dougie Hamilton,NJD,"10,600,000","9,000,000",2024
Brady Tkachuk,OTT,"10,500,000","8,205,714",2024
Darnell Nurse,EDM,"10,400,000","9,250,000",2024
Elias Pettersson,VAN,"10,250,000","7,350,000",2024
Nick Suzuki,MTL,"10,000,000","7,875,000",2024
Miro Heiskanen,DAL,"10,000,000","8,450,000",2024
Filip Forsberg,NSH,"10,000,000","8,500,000",2024
Dylan Larkin,DET,"10,000,000","8,700,000",2024
Jack Eichel,VEG,"10,000,000","10,000,000",2024
Jeff Skinner,BUF,"10,000,000","9,000,000",2024
Mikko Rantanen,COL,"9,500,000","9,250,000",2024
Mathew Barzal,NYI,"9,150,000","9,150,000",2024
Erik Karlsson,PIT,"9,130,435","10,000,000",2024
Vince Dunn,SEA,"9,000,000","7,350,000",2024
Jordan Kyrou,STL,"9,000,000","8,125,000",2024
Robert Thomas,STL,"9,000,000","8,125,000",2024
Anders Lee,NYI,"8,950,000","7,000,000",2024
Quinn Hughes,VAN,"8,600,000","7,850,000",2024
Jack Hughes,NJD,"8,500,000","8,000,000",2024
Bo Horvat,NYI,"8,500,000","8,500,000",2024
Torey Krug,STL,"8,500,000","6,500,000",2024
David Pastrňák,BOS,"8,500,000","11,250,000",2024
Ryan McDonagh,NSH,"8,400,000","6,750,000",2024
Alex DeBrincat,DET,"8,250,000","7,875,000",2024
Thomas Chabot,OTT,"8,000,000","8,000,000",2024
Jared Spurgeon,MIN,"8,000,000","7,575,000",2024
Jonas Brodin,MIN,"8,000,000","6,000,000",2024
Brendan Gallagher,MTL,"8,000,000","6,500,000",2024
Josh Anderson,MTL,"8,000,000","5,500,000",2024
Jason Robertson,DAL,"8,000,000","7,750,000",2024
Jacob Trouba,NYR,"8,000,000","8,000,000",2024
Leon Draisaitl,EDM,"8,000,000","8,500,000",2024
Jacob Markström,CGY,"8,000,000","6,000,000",2024
Brayden Schenn,STL,"8,000,000","6,500,000",2024
Colton Parayko,STL,"8,000,000","6,500,000",2024
Kris Letang,PIT,"8,000,000","6,100,000",2024
"Boldy, Matthew",MIN,"8,000,000","7,000,000",2024
"Morrissey, Joshua",WPG,"8,000,000","6,250,000",2024
Justin Faulk,STL,"7,900,000","6,500,000",2024
Nico Hischier,NJD,"7,750,000","7,250,000",2024
Johnny Gaudreau,CBJ,"7,750,000","9,750,000",2024
Charlie McAvoy,BOS,"7,750,000","9,500,000",2024
Zach Hyman,EDM,"7,650,000","5,500,000",2024
Roope Hintz,DAL,"7,500,000","8,450,000",2024
Cam Fowler,ANA,"7,500,000","6,500,000",2024
Kyle Connor,WPG,"7,500,000","7,142,857",2024
Neal Pionk,WPG,"7,500,000","5,875,000",2024
Connor Hellebuyck,WPG,"7,500,000","6,166,667",2024
Nick Schmaltz,ARI,"7,500,000","5,850,000",2024
Valeri Nichushkin,COL,"7,500,000","6,125,000",2024
Tomáš Hertl,SJS,"7,500,000","8,137,500",2024
Jordan Binnington,STL,"7,500,000","6,000,000",2024
Seth Jones,CHI,"7,500,000","9,500,000",2024
"Brodie, TJ",TOR,"7,500,000","5,000,000",2024
Philipp Grubauer,SEA,"7,250,000","5,900,000",2024
Marc-Édouard Vlasic,SJS,"7,250,000","7,000,000",2024
Rasmus Dahlin,BUF,"7,200,000","6,000,000",2024
Patrik Laine,CBJ,"7,100,000","8,700,000",2024
Claude Giroux,OTT,"7,000,000","6,500,000",2024
Troy Terry,ANA,"7,000,000","7,000,000",2024
Jaden Schwartz,SEA,"7,000,000","5,500,000",2024
Anže Kopitar,LAK,"7,000,000","10,000,000",2024
Pavel Buchnevich,STL,"6,900,000","5,800,000",2024
Brock Boeser,VAN,"6,650,000","6,650,000",2024
Joshua Norris,OTT,"6,500,000","7,950,000",2024
Nikolaj Ehlers,WPG,"6,500,000","6,000,000",2024
Anthony Mantha,WSH,"6,500,000","5,700,000",2024
John Gibson,ANA,"6,400,000","6,400,000",2024
André Burakovsky,SEA,"6,250,000","5,500,000",2024
Andrew Copp,DET,"6,250,000","5,625,000",2024
Ryan Nugent-Hopkins,EDM,"6,250,000","5,125,000",2024
Taylor Hall,CHI,"6,250,000","6,000,000",2024
Mattias Ekholm,EDM,"6,240,000","6,000,000",2024
Ryan Pulock,NYI,"6,150,000","6,150,000",2024
Bryan Rust,PIT,"6,100,000","5,125,000",2024
Timo Meier,NJD,"6,000,000","8,800,000",2024
Joel Eriksson Ek,MIN,"6,000,000","5,250,000",2024
Juuse Saros,NSH,"6,000,000","5,000,000",2024
Damon Severson,CBJ,"6,000,000","6,250,000",2024
Elvis Merzļikins,CBJ,"6,000,000","5,400,000",2024
Jared McCann,SEA,"6,000,000","5,000,000",2024
Jamie Oleksiak,SEA,"6,000,000","4,600,000",2024
Mark Scheifele,WPG,"6,000,000","6,125,000",2024
Travis Konecny,PHI,"6,000,000","5,500,000",2024
Clayton Keller,ARI,"6,000,000","7,150,000",2024
Conor Garland,VAN,"6,000,000","4,950,000",2024
Thatcher Demko,VAN,"6,000,000","5,000,000",2024
Mark Stone,VEG,"6,000,000","9,500,000",2024
Evgeny Kuznetsov,WSH,"6,000,000","7,800,000",2024
Evgeni Malkin,PIT,"6,000,000","6,100,000",2024
