Player,Pos,Team,Num,Height,Weight,DOB
Noel Acciari,C,PIT,55,70,209,12/1/91
Calen Addison,D,MIN,2,71,173,4/11/00
Sebastian Aho,D,NYI,25,70,180,2/17/96
Sebastian Aho,C,CAR,20,72,176,7/26/97
Nikita Alexandrov,C,STL,59,73,177,9/16/00
Alexander Alexeyev,D,WAS,27,76,213,11/15/99
Jake Allen,G,MON,34,74,197,8/7/90
Michael Amadio,RW,VEG,22,73,200,5/13/96
Frederik Andersen,G,CAR,31,76,238,10/2/89
Josh Anderson,RW,MON,17,75,224,5/7/94
Mikey Anderson,D,LA,44,72,195,5/25/99
Jaret Anderson-Dolan,C,LA,28,71,200,9/12/99
Rasmus Andersson,D,CAL,4,73,202,10/27/96
Emil Andrae,D,PHI,36,68,181,2/23/02
Mason Appleton,C,WIN,22,75,197,1/15/96
Viktor Arvidsson,RW,LA,33,70,185,4/8/93
Andreas Athanasiou,LW,CHI,89,74,190,8/6/94
Cam Atkinson,RW,PHI,89,68,176,6/5/89
Mikael Backlund,C,CAL,11,72,206,3/17/89
Nicklas Backstrom,C,WAS,19,73,202,11/23/87
Kevin Bahl,D,NJ,88,78,230,6/27/00
Uvis Balinskis,D,FLA,26,72,196,8/1/96
Alexander Barabanov,LW,SJ,94,70,195,6/17/94
Ivan Barbashev,C,VEG,49,73,198,12/14/95
Aleksander Barkov,C,FLA,16,75,215,9/2/95
Alex Barre-Boulet,C,TB,12,70,180,5/21/97
Tyson Barrie,D,NAS,22,71,197,7/26/91
Justin Barron,D,MON,52,74,202,11/15/01
Morgan Barron,C,WIN,36,76,220,12/2/98
Mathew Barzal,C,NYI,13,73,190,5/26/97
Nathan Bastian,RW,NJ,14,76,205,12/6/97
Drake Batherson,RW,OTT,19,75,200,4/27/98
Jake Bean,D,CLB,22,73,196,6/9/98
Anthony Beauvillier,LW,VAN,72,71,180,6/8/97
Connor Bedard,C,CHI,98,70,185,7/17/05
John Beecher,C,BOS,19,75,215,4/5/01
Pierre-Edouard Bellemare,LW,SEA,41,71,198,3/6/85
Emil Bemstrom,RW,CLB,52,72,195,6/1/99
Matty Beniers,C,SEA,10,74,178,11/5/02
Jamie Benn,LW,DAL,14,74,205,7/18/89
Sam Bennett,C,FLA,9,73,195,6/20/96
Matt Benning,D,SJ,5,73,203,5/25/94
Simon Benoit,D,TOR,2,76,205,9/19/98
Zach Benson,LW,BUF,9,70,163,5/12/05
Tyler Bertuzzi,LW,TOR,59,74,200,2/24/95
Jordan Binnington,G,STL,50,74,172,7/11/93
Oliver Bjorkstrand,RW,SEA,22,72,175,4/10/95
Tobias Bjornfot,D,LA,7,72,200,4/6/01
Nick Bjugstad,C,ARI,17,78,209,7/17/92
Colin Blackwell,C,CHI,43,69,190,3/28/93
Mackenzie Blackwood,G,SJ,29,76,225,12/9/96
Sammy Blais,LW,STL,79,74,206,6/17/96
Teddy Blueger,C,VAN,53,72,185,8/15/94
Sergei Bobrovsky,G,FLA,72,74,188,9/20/88
Brock Boeser,RW,VAN,6,73,208,2/25/97
Zach Bogosian,D,TB,24,74,231,7/15/90
Samuel Bolduc,D,NYI,4,76,220,12/9/00
Matt Boldy,LW,MIN,12,74,201,4/5/01
Nick Bonino,C,NYR,12,73,198,4/20/88
Adam Boqvist,D,CLB,27,72,182,8/15/00
Thomas Bordeleau,C,SJ,17,70,175,1/3/02
Will Borgen,D,SEA,3,75,204,12/19/96
Robert Bortuzzo,D,STL,41,76,216,3/18/89
Evan Bouchard,D,EDM,2,75,192,10/20/99
Travis Boyd,C,ARI,72,72,190,9/14/93
Erik Brannstrom,D,OTT,26,70,185,9/2/99
Jesper Bratt,LW,NJ,63,70,175,7/30/98
Bobby Brink,RW,PHI,10,68,166,7/8/01
Guillaume Brisebois,D,VAN,55,74,175,7/21/97
Philip Broberg,D,EDM,86,75,212,6/25/01
TJ Brodie,D,TOR,78,74,187,6/7/90
Jonas Brodin,D,MIN,25,74,196,7/12/93
Laurent Brossoit,G,WIN,39,75,215,3/23/93
Connor Brown,RW,EDM,28,72,184,1/14/94
Josh Brown,D,ARI,3,77,220,1/21/94
Logan Brown,C,TB,22,78,218,3/5/98
Patrick Brown,C,BOS,38,73,210,5/29/92
Jacob Bryson,D,BUF,78,69,176,11/18/97
Pavel Buchnevich,LW,STL,89,73,196,4/17/95
Michael Bunting,LW,CAR,58,72,192,9/17/95
Andre Burakovsky,LW,SEA,95,75,209,2/9/95
Brent Burns,D,CAR,8,77,230,3/9/85
Kyle Burroughs,D,SJ,4,72,193,7/12/95
Quinton Byfield,C,LA,55,77,220,8/19/02
Bowen Byram,D,COL,4,73,190,6/13/01
Jack Campbell,G,EDM,36,75,200,1/9/92
Michael Carcone,LW,ARI,53,69,170,5/19/96
Brandon Carlo,D,BOS,25,78,218,11/26/96
John Carlson,D,WAS,74,75,215,1/10/90
Leo Carlsson,C,ANA,37,75,194,12/26/04
Sam Carrick,C,ANA,39,72,200,2/4/92
Alexandre Carrier,D,NAS,45,71,174,10/8/96
William Carrier,LW,VEG,28,74,220,12/20/94
Jeff Carter,RW,PIT,77,75,219,1/1/85
Noah Cates,LW,PHI,27,73,165,2/5/99
Cole Caufield,RW,MON,22,67,175,1/2/01
Cody Ceci,D,EDM,5,74,210,12/21/93
Erik Cernak,D,TB,81,76,230,5/28/97
Thomas Chabot,D,OTT,72,74,195,1/30/97
Rourke Chartier,C,OTT,49,71,190,4/3/96
Jalen Chatfield,D,CAR,5,73,188,5/15/96
Ben Chiarot,D,DET,8,75,232,5/9/91
Declan Chisholm,D,WIN,47,73,194,1/12/00
Jakob Chychrun,D,OTT,6,74,220,3/31/98
Filip Chytil,C,NYR,72,74,208,9/5/99
Anthony Cirelli,C,TB,71,72,189,7/15/97
Casey Cizikas,C,NYI,53,71,194,2/27/91
Connor Clifton,D,BUF,75,71,190,4/28/95
Cal Clutterbuck,RW,NYI,15,72,215,11/18/87
Andrew Cogliano,C,COL,11,70,179,6/14/87
Ian Cole,D,VAN,82,73,225,2/21/89
Blake Coleman,C,CAL,20,71,199,11/28/91
Ross Colton,C,COL,20,72,194,9/11/96
J.T. Compher,LW,DET,37,72,190,4/8/95
Eric Comrie,G,BUF,31,73,183,7/6/95
Kyle Connor,LW,WIN,81,74,179,12/9/96
Logan Cooley,C,ARI,92,70,174,5/4/04
Pheonix Copley,G,LA,29,76,200,1/18/92
Andrew Copp,C,DET,18,73,199,7/8/94
Matt Coronato,RW,CAL,27,70,183,11/14/02
Paul Cotter,C,VEG,43,74,213,11/16/99
Nick Cousins,C,FLA,21,71,186,7/20/93
Logan Couture,C,SJ,39,73,206,3/28/89
Sean Couturier,C,PHI,14,75,211,12/7/92
Charlie Coyle,C,BOS,13,75,223,3/2/92
Dylan Cozens,C,BUF,24,75,195,2/9/01
Sidney Crosby,C,PIT,87,71,200,8/7/87
Lawson Crouse,LW,ARI,67,76,215,6/23/97
Will Cuylle,LW,NYR,50,75,210,2/5/02
Austin Czarnik,C,DET,21,69,170,12/12/92
Joey Daccord,G,SEA,35,74,201,8/19/96
Kirby Dach,C,MON,77,76,217,1/21/01
Evgenii Dadonov,RW,DAL,63,71,185,3/12/89
Rasmus Dahlin,D,BUF,26,75,202,4/13/00
Phillip Danault,LW,LA,24,73,200,2/24/93
Justin Danforth,RW,CLB,17,69,190,3/15/93
Calvin de Haan,D,TB,44,73,192,5/9/91
Tony DeAngelo,D,CAR,77,71,180,10/24/95
Alex DeBrincat,RW,DET,93,68,178,12/18/97
Jake DeBrusk,LW,BOS,74,72,197,10/17/96
Ty Dellandrea,C,DAL,10,73,190,7/21/00
Dylan Demelo,D,WIN,2,72,195,5/1/93
Thatcher Demko,G,VAN,35,76,192,12/8/95
Travis Dermott,D,ARI,33,72,202,12/22/96
Vincent Desharnais,D,EDM,73,78,226,5/29/96
Nicolas Deslauriers,LW,PHI,44,73,220,2/22/91
Casey DeSmith,G,VAN,29,72,181,8/13/91
Connor Dewar,C,MIN,26,70,183,6/26/99
Phillip Di Giuseppe,LW,VAN,34,72,193,10/9/93
Jason Dickinson,C,CHI,16,74,200,7/4/95
Brenden Dillon,D,WIN,5,76,224,11/13/90
Noah Dobson,D,NYI,8,76,200,1/7/00
Max Domi,C,TOR,11,70,208,3/2/95
Ryan Donato,LW,CHI,8,72,190,4/9/96
Pavel Dorofeyev,LW,VEG,16,73,194,10/26/00
Lukas Dostal,G,ANA,1,74,174,6/22/00
Drew Doughty,D,LA,8,73,210,12/8/89
Nic Dowd,C,WAS,26,73,193,5/27/90
Leon Draisaitl,C,EDM,29,74,209,10/27/95
Jonathan Drouin,LW,COL,27,71,198,3/28/95
Jack Drury,C,CAR,18,71,174,2/3/00
Jamie Drysdale,D,ANA,6,71,183,4/8/02
Dillon Dube,LW,CAL,29,71,185,7/20/98
Pierre-Luc Dubois,LW,LA,80,76,214,6/24/98
Matt Duchene,C,DAL,95,71,210,1/16/91
Anthony Duclair,LW,SJ,10,71,197,8/26/95
Walker Duehr,RW,CAL,71,74,210,11/23/97
Brandon Duhaime,RW,MIN,21,74,200,5/22/97
Matt Dumba,D,ARI,24,72,181,7/25/94
Brian Dumoulin,D,SEA,8,76,207,9/6/91
Vince Dunn,D,SEA,29,72,200,10/29/96
Sean Durzi,D,ARI,50,72,195,10/21/98
Christian Dvorak,C,MON,28,73,192,2/2/96
Jordan Eberle,RW,SEA,7,71,190,5/15/90
Joel Edmundson,D,WAS,6,77,221,6/28/93
Nikolaj Ehlers,LW,WIN,27,72,169,2/14/96
Jack Eichel,C,VEG,9,74,203,10/28/96
Aaron Ekblad,D,FLA,5,76,215,2/7/96
Mattias Ekholm,D,EDM,14,76,225,5/24/90
William Eklund,LW,SJ,72,71,181,10/12/02
Oliver Ekman-Larsson,D,FLA,91,74,191,7/17/91
Lars Eller,C,PIT,20,74,205,5/8/89
Ryan Ellis,D,PHI,94,70,180,1/3/91
Ty Emberson,D,SJ,6,73,193,5/23/00
Andreas Englund,D,LA,5,75,189,1/21/96
Pierre Engvall,LW,NYI,18,77,215,5/31/96
Mackenzie Entwistle,RW,CHI,58,75,184,7/14/99
Joel Eriksson Ek,C,MIN,14,75,207,1/29/97
Adam Erne,LW,EDM,21,73,212,4/20/95
