Variable    Min     Q1     Median              Q3       Max
1        GP      1     56      76.00      64.5580737      81.0
2         G      0      4      10.00      13.2946176      19.0
3         A      0      9      19.00      22.1388102      32.0
4       Pts      0     15      30.00      35.4334278      50.0
5      X...    -41     -8       1.00       0.7252125      10.0
6        PN      0      8      13.00      14.0368272      20.0
7       PIM      0     16      30.00      33.5297450      44.0
8         S      0     73     121.00     125.5779037     175.0
9        SB      0     31      54.00      59.1841360      78.0
10       MS      0     26      46.00      49.2011331      67.0
11        H      0     40      67.00      79.8951841     107.0
12       GV      0     17      31.00      32.6685552      46.0
13       TK      0     15      28.00      29.4589235      42.0
14       BS      0     24      40.00      54.3937677      72.0
15       FW      0      0       5.00     120.0878187     105.0
16       FL      0      0       9.00     122.1983003     144.0
17       F.      0      0      33.33      27.5459773      48.3
18   Salary 775000 850000 2950000.00 3480668.1954674 5100000.0
19  Cap.Hit 758333 925000 3500000.00 3910838.9235127 5950000.0
