car_ID,drivewheel,wheelbase,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,mpg,PRICE
38,fwd,96.5,110,3.15,3.58,9.0,86,5800,60,7895.0
39,fwd,96.5,110,3.15,3.58,9.0,86,5800,60,9095.0
40,fwd,96.5,110,3.15,3.58,9.0,86,5800,60,8845.0
41,fwd,96.5,110,3.15,3.58,9.0,86,5800,60,10295.0
42,fwd,96.5,110,3.15,3.58,9.0,101,5800,52,12945.0
43,fwd,96.5,110,3.15,3.58,9.1,100,5500,56,10345.0
44,rwd,94.3,111,3.31,3.23,8.5,78,4800,53,6785.0
45,fwd,94.5,90,3.03,3.11,9.6,70,5400,81,8916.5
46,fwd,94.5,90,3.03,3.11,9.6,70,5400,81,8916.5
47,rwd,96.0,119,3.43,3.23,9.2,90,5000,53,11048.0
51,fwd,93.1,91,3.03,3.15,9.0,68,5000,61,5195.0
52,fwd,93.1,91,3.03,3.15,9.0,68,5000,69,6095.0
53,fwd,93.1,91,3.03,3.15,9.0,68,5000,69,6795.0
54,fwd,93.1,91,3.03,3.15,9.0,68,5000,69,6695.0
55,fwd,93.1,91,3.08,3.15,9.0,68,5000,69,7395.0
60,fwd,98.8,122,3.39,3.39,8.6,84,4800,58,8845.0
61,fwd,98.8,122,3.39,3.39,8.6,84,4800,58,8495.0
62,fwd,98.8,122,3.39,3.39,8.6,84,4800,58,10595.0
63,fwd,98.8,122,3.39,3.39,8.6,84,4800,58,10245.0
65,fwd,98.8,122,3.39,3.39,8.6,84,4800,58,11245.0
66,rwd,104.9,140,3.76,3.16,8.0,120,5000,46,18280.0
76,rwd,102.7,140,3.78,3.12,8.0,175,5000,43,16503.0
77,fwd,93.7,92,2.97,3.23,9.4,68,5500,78,5389.0
78,fwd,93.7,92,2.97,3.23,9.4,68,5500,69,6189.0
79,fwd,93.7,92,2.97,3.23,9.4,68,5500,69,6669.0
80,fwd,93.0,98,3.03,3.39,7.6,102,5500,54,7689.0
81,fwd,96.3,110,3.17,3.46,7.5,116,5500,53,9959.0
82,fwd,96.3,122,3.35,3.46,8.5,88,5000,57,8499.0
83,fwd,95.9,156,3.58,3.86,7.0,145,5000,43,12629.0
84,fwd,95.9,156,3.59,3.86,7.0,145,5000,43,14869.0
85,fwd,95.9,156,3.59,3.86,7.0,145,5000,43,14489.0
86,fwd,96.3,122,3.35,3.46,8.5,88,5000,57,6989.0
87,fwd,96.3,122,3.35,3.46,8.5,88,5000,57,8189.0
88,fwd,96.3,110,3.17,3.46,7.5,116,5500,53,9279.0
89,fwd,96.3,110,3.17,3.46,7.5,116,5500,53,9279.0
90,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,5499.0
92,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,6649.0
93,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,6849.0
94,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,7349.0
95,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,7299.0
96,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,7799.0
97,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,7499.0
98,fwd,94.5,97,3.15,3.29,9.4,69,5200,68,7999.0
99,fwd,95.1,97,3.15,3.29,9.4,69,5200,68,8249.0
100,fwd,97.2,120,3.33,3.47,8.5,97,5200,61,8949.0
101,fwd,97.2,120,3.33,3.47,8.5,97,5200,61,9549.0
119,fwd,93.7,90,2.97,3.23,9.4,68,5500,78,5572.0
120,fwd,93.7,98,3.03,3.39,7.6,102,5500,54,7957.0
121,fwd,93.7,90,2.97,3.23,9.4,68,5500,69,6229.0
122,fwd,93.7,90,2.97,3.23,9.4,68,5500,69,6692.0
123,fwd,93.7,98,2.97,3.23,9.4,68,5500,69,7609.0
124,fwd,103.3,122,3.35,3.46,8.5,88,5000,54,8921.0
125,rwd,95.9,156,3.59,3.86,7.0,145,5000,43,12764.0
126,rwd,94.5,151,3.94,3.11,9.5,143,5500,46,22018.0
131,fwd,96.1,132,3.46,3.9,8.7,90,5100,54,9295.0
132,fwd,96.1,132,3.46,3.9,8.7,90,5100,54,9895.0
133,fwd,99.1,121,3.54,3.07,9.31,110,5250,49,11850.0
134,fwd,99.1,121,3.54,3.07,9.3,110,5250,49,12170.0
135,fwd,99.1,121,2.54,2.07,9.3,110,5250,49,15040.0
136,fwd,99.1,121,3.54,3.07,9.3,110,5250,49,15510.0
151,fwd,95.7,92,3.05,3.03,9.0,62,4800,74,5348.0
152,fwd,95.7,92,3.05,3.03,9.0,62,4800,69,6338.0
153,fwd,95.7,92,3.05,3.03,9.0,62,4800,69,6488.0
154,fwd,95.7,92,3.05,3.03,9.0,62,4800,68,6918.0
155,4wd,95.7,92,3.05,3.03,9.0,62,4800,59,7898.0
156,4wd,95.7,92,3.05,3.03,9.0,62,4800,59,8778.0
157,fwd,95.7,98,3.19,3.03,9.0,70,4800,67,6938.0
158,fwd,95.7,98,3.19,3.03,9.0,70,4800,67,7198.0
161,fwd,95.7,98,3.19,3.03,9.0,70,4800,85,7738.0
162,fwd,95.7,98,3.19,3.03,9.0,70,4800,62,8358.0
163,fwd,95.7,98,3.19,3.03,9.0,70,4800,62,9258.0
164,rwd,94.5,98,3.19,3.03,9.0,70,4800,63,8058.0
165,rwd,94.5,98,3.19,3.03,9.0,70,4800,63,8238.0
168,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,8449.0
169,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,9639.0
170,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,9989.0
171,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,11199.0
172,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,11549.0
173,rwd,98.4,146,3.62,3.5,9.3,116,4800,54,17669.0
