car_ID,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,mpg,PRICE
4,109,3.19,3.4,10.0,102,5500,54,13950.0
5,136,3.19,3.4,8.0,115,5500,40,17450.0
6,136,3.19,3.4,8.5,110,5500,44,15250.0
7,136,3.19,3.4,8.5,110,5500,44,17710.0
8,136,3.19,3.4,8.5,110,5500,44,18920.0
9,131,3.13,3.4,8.3,140,5500,37,23875.0
10,131,3.13,3.4,7.0,160,5500,38,17859.167
11,108,3.5,2.8,8.8,101,5800,52,16430.0
12,108,3.5,2.8,8.8,101,5800,52,16925.0
13,164,3.31,3.19,9.0,121,4250,49,20970.0
14,164,3.31,3.19,9.0,121,4250,49,21105.0
15,164,3.31,3.19,9.0,121,4250,45,24565.0
16,209,3.62,3.39,8.0,182,5400,38,30760.0
17,209,3.62,3.39,8.0,182,5400,38,41315.0
18,209,3.62,3.39,8.0,182,5400,35,36880.0
20,90,3.03,3.11,9.6,70,5400,81,6295.0
21,90,3.03,3.11,9.6,70,5400,81,6575.0
22,90,2.97,3.23,9.41,68,5500,78,5572.0
23,90,2.97,3.23,9.4,68,5500,69,6377.0
24,98,3.03,3.39,7.6,102,5500,54,7957.0
25,90,2.97,3.23,9.4,68,5500,69,6229.0
26,90,2.97,3.23,9.4,68,5500,69,6692.0
27,90,2.97,3.23,9.4,68,5500,69,7609.0
28,98,3.03,3.39,7.6,102,5500,54,8558.0
29,122,3.34,3.46,8.5,88,5000,54,8921.0
30,156,3.6,3.9,7.0,145,5000,43,12964.0
31,92,2.91,3.41,9.6,58,4800,103,6479.0
32,92,2.91,3.41,9.2,76,6000,69,6855.0
33,79,2.91,3.07,10.1,60,5500,80,5399.0
34,92,2.91,3.41,9.2,76,6000,64,6529.0
35,92,2.91,3.41,9.2,76,6000,64,7129.0
36,92,2.91,3.41,9.2,76,6000,64,7295.0
37,92,2.92,3.41,9.2,76,6000,64,7295.0
